# index, id, name, non_attrition, attrition, _pos
0,243,University of Alabama,74,31,"array([-2.15430548,  5.48701006])"
1,82,Georgia Tech,42,8,"array([-2.1708667 ,  5.49545397])"
2,251,UC Berkeley,1293,343,"array([-2.18329799,  5.48665303])"
3,675522,Moscow State University,0,0,"array([-2.10234304,  5.69292533])"
4,538963,ETH Zurich,0,0,"array([-2.19699739,  5.55823824])"
5,546791,Charles University in Prague,0,0,"array([-2.27764694,  5.37879967])"
6,541723,University of Paris VIII (Vincennes in Saint-Denis),0,0,"array([-2.33190574,  5.55135721])"
7,280,University of Illinois Urbana-Champaign,632,207,"array([-2.17545985,  5.46956578])"
8,326,UPenn,517,156,"array([-2.11209136,  5.52660269])"
9,252,UC Davis,296,65,"array([-2.10388005,  5.48653337])"
10,544239,University of Oxford,0,0,"array([-2.0690414 ,  5.48251393])"
11,123,MIT,536,139,"array([-2.1352256 ,  5.46109363])"
12,198,Stanford,808,213,"array([-2.12565108,  5.46632352])"
13,60,Duke,379,109,"array([-2.14033558,  5.47963487])"
14,31,Caltech,868,195,"array([-2.21032069,  5.45456932])"
15,167,Princeton,544,116,"array([-2.16988661,  5.44212994])"
16,153,Northwestern,499,164,"array([-2.21624518,  5.4447127 ])"
17,146,NYU,383,88,"array([-2.13155538,  5.4012862 ])"
18,102,Johns Hopkins,313,98,"array([-2.20813171,  5.47492154])"
19,289,University of Maryland College Park,399,111,"array([-2.13754204,  5.53898552])"
20,261,University of Chicago,944,304,"array([-2.1205316 ,  5.44072669])"
21,51,Cornell,505,163,"array([-2.20047628,  5.54418515])"
22,258,UC Santa Barbara,280,84,"array([-2.17370347,  5.48103042])"
23,300,University of Michigan,1001,315,"array([-2.14428269,  5.46888234])"
24,229,UT Austin,607,185,"array([-2.09859447,  5.484183  ])"
25,301,University of Minnesota Twin Cities,674,201,"array([-2.21134949,  5.48826094])"
26,254,UCLA,685,186,"array([-2.16677455,  5.47594514])"
27,537178,Mcgill University,0,0,"array([-2.14131447,  5.42785904])"
28,247,University of Arizona,364,93,"array([-2.21686172,  5.46653333])"
29,539384,University of Alberta,0,0,"array([-2.10182369,  5.41532213])"
30,274,University of Georgia,307,98,"array([-2.16277746,  5.500162  ])"
31,351,Vanderbilt,207,67,"array([-2.1360473 ,  5.50414501])"
32,27,Brigham Young,29,16,"array([-2.16739273,  5.48754623])"
33,28,Brown,212,72,"array([-2.14782044,  5.53439125])"
34,358,Washington University St. Louis,247,76,"array([-2.17177643,  5.46058513])"
35,539292,Lomonosov Moscow State University,0,0,"array([-2.18932897,  5.40902142])"
